ID,Title,Author,Subject,Publisher,Year Of Publication,ISBN,Keywords,Copies
423,Sathnini Jamin Ange Surendranagar Jillana Sayla Taluka Na Gamo No Abhyas,Hetal Chauhan,,CFDA,,,"Sayla, Land, Gujarat",1
424,"M.A. Ecology, Environment And Sustainable Development (EESD)",EESD,,EESD,,,Cousre,1
425,Baseline Study For Kvy-3 Programme,Alka Palrecha,,People In Centre,Feb 2012,,"Salinity, Gujarat",1
426,Stories Worth Regarding …2006,V K Jogal,,AKRSP,,,,1
427,Stories Worth Regarding …2007,V K Jogal,,AKRSP,,,,1
428,Seismic Design For Architects_ Outwritting The Quake,Andrew Charleson,,Elsevier,2008,978-0-7506-8550-4,"Architects,",1
429,Tourist Guide-Guwahati,Manoj Jain,,Gbd's Publishers- Kolkata,2012,,"Maps, Assam",1
430,Bamboo Building Essentials,"Darrel Deboer, Megan Groth",,Not Known,2010,0982756003,Bamboo,1
431,A Tutorial: Improving The Seismic Performance Of Stone Masonry Buildings,"Jitendra Bothara, Svetlana Brzev",,EERI,Jan 2012,9789380903026,"Stone, Building",1
432,Cities And Flooding,"Abhas Jha, Robin Bloch, Jessica Lamond",,"The World Bank, GFDRR",2012,9780821388662,"Flood,",1
433,Training Course On Stabilised Rammed Earth Construction- Learning Resources & Reference Material,People In Centre,,"People In Centre, Hunnarshala",2013,,"Rammed, Construction",2
434,Development' Versus People:Gujarat Model Of Land Acquisition And People's Voices,"BSC, Act!Onaid",,"BSC, Act!Onaid",April 2012,,"Gujarat, Development",2
435,Flood Hazard Atlas For Assam State,ASDMA,,ASDMA,July 2011,,"Maps, Assam",1
436,Contributions Of Earthquake Engineering,"Thomas Holzer, Thomas D. O'rourke, Christopher Rojahn, Kathleen Tierney",,EERI,Aug 2008,,Earthquake,1
437,Ethical Issues And Earthquake Risk Reduction,EERI,,EERI,1998,0943198615,Earthquake,1
438,Technical Bid For The Design And Implementation Of Training On Different Aspects Of Disaster Management In Assam,Tata Institute of Social Sciences (TISS),,Tata Institute of Social Sciences (TISS),May 2011,,"Disaster, Assam",1
439,Spatial Patterns Of Water Harvesting And Their Impact On The Agrarian Economy Of Saurashtra,"Alka Palrecha, Shilp Verma",,IWMI,2011,,"Saurashtra, Water",1
440,Water,Paul L Younger,,Planetearth,2012,978 1 4441 5681 2,Water,1
441,Environmental Public Hearing,Mahesh Pandya,,Paryavaran Mitra,June 2003,,Environment,1
442,Office Building In India,Hans-Rudolf Schalcher,,Holcim Foundation,2008,978 3 7266 0083 9,Bulding,1
443,Chhoti Chhoti Bate,"Rajendra Desai, Rupal Desai",,NCPDP,Jan 2009,,"Building,",1
444,Training For Rural Development:Agricultural And Enterprise Skill For Women Smallholders-Summary Report,"Kathleen Collett, Chris Gale",,C city & Guides Centre For Skills Development,,,Summary Report,1
445,Whose Reality Counts?,Robert Chambers,,Intermediate Technology Publications,1997,1 85339 386 X,Reality,1
446,Baseline Study Of Kvy-3 Programme Villages,Alka Palrecha,,"People In Centre, AKRSP",Feb 2012,,"Salinity, Gujarat",1
447,Cover To Reinforced Concrete,Ambuja Cement,,Ambuja Cement,Oct 1999,,Construction,1
448,Selection Of Consultants,"The World Bank- Washington,Dc",,"The World Bank- Washington,Dc",Dec-2008,,,1
449,Towards A Safer India,Sugandh Sharma,,Education In Disaster Management,2012,,,1
450,Vidhantantra Aam Aadmini Najare- 8 Mu Satra,"Gujarat Social Watch, Paryavaran Mitra",,"Gujarat Social Watch, Paryavaran Mitra",Feb 2012,,,1
451,Vidhantantra Aam Aadmini Najare- 10 Mu Satra,"Gujarat Social Watch, Paryavaran Mitra",,"Gujarat Social Watch, Paryavaran Mitra",Nov 12,,,1
452,Plastic Composite Materials,"R.K.Jain, K.K.Asthana",,Central Building Research Institute- Roorkee,1991,,Plastic,1
453,A Village A Waits Doomsday,Jaideep Hardkar,,Penguin Books,2013,9780143103103,,1
454,Wasterwater Irrigation In Gujarat- An Exploratory Study,"Alka Palrecha, Dheeraj Kapoor, Teja Malladi",,"People In Centre, IWMI",Nov 2012,,"Waste Water, Irrigation, Gujarat",1
455,Assessing Post-Tsunami Housing Reconstruction- In Andaman & Nicobar Islands,"Vivek Rawal, Dharmesh Jadeja, Rajendra Desai",,Book For Change- Bangalore,Dec 2006,,"Tsunami, Housing",2
456,National Programme For Capacity Building Of Engineers In Earthquake Risk Management,National Disaster Management Division,,National Disaster Management Division,,,"Earthquake, Building, Engineers",1
457,National Programme For Capacity Building Of Architects In Earthquake Risk Management,National Disaster Management Division,,National Disaster Management Division,,,"Earthquake, Building, Engineers",1
458,Space For Engagement,Himanshu Burte,,Naveen Kishor,2007,13 978 8 1704 6 278 1,"Architecture, Indian",1
459,Seismic Safety In Architecture,"P.K.Das, A.R. Ramanathan",,Not Known,2007,,Architecture,1
460,Catch Water Where It Falls,Gita Karavana,,Centre For Science and Environment,2013,978 81 86906 65 1,"Urban , Water",1
461,Rajmistriyo Ke Liye Margdarshika,DDMC- Rudki,,DDMC- Rudki,2011,,Earthquake,1
462,Land And Livelihood,"Ekta Parishad, South-South Solidarity",,"Ekta Parishad, South-South Solidarity",2012,,Global,1
463,Bihar Ke Bhumihino Avam Begharo Ke Haq Ke Kanuni Mudde,Abhay Nath Das,,Deshkal Society- Delhi,,,"Bihar, Land,",1
464,Sabki Apni Ho Jamin, P.V.Rajgopal,,Mahatma Gandhi Sewa Ashram,Aug 2012,,Land,1
465,Rastriy Bhumi Sudhar Nity,"Shiba Chudhary, Ramesh Sharma",,Ekta Parishad- Bhopal,2012,,Land,1
466,Excreta Matters,Sunita Narain,,Centre For Science and Environment,2013,978 81 86906 66 8,Water,1
467,Participatory Assessment Of Housing Vulnerability,"Alka Palrecha, Binoy Acharya",,"People In Centre, Unnati",2012,,Housing Vulnerability,1
468,A Treatise On Fluorosis,Prof. A.K.Susheela,,Florosis Research and Rura Development foundation,2000,,Florosis,1
469,A New Flightplan,Transport & Environment,,Transport & Environment,Feb 2012,,Getting Global  Climate ,1
470,Climate Change And Grassroots Adaptation Process,INECC,,INECC,2010,,Ecosystems,1
471,Development Through A Low Carbon Pathway,"Karuna D'souza, Nikhil Titus",,INECC,2011,,"Case Studies Solar, Biogas",1
472,Vulnerability Of The Forest Eco-System In The Context Of The Changing Climate,"Karuna D'souza, Sanjay Khatua",,INECC,Nov 2012,,Vulnerability,1
473,Eco-Ethic,INECC,,INECC,Nov 12,,,1
474,Imprint,Carbon Market Watch,,Bread For The World,,,,1
475,A Partner's Journey Towards India's Development,Dr. Sudhirendar Sharma,,CIDA,Mar 13,,Developing,1
476,Guidelines For Cyclone Resistant Construction Of Buildings In Gujarat,A.S.Arya,,GSDMA,Dec-2001,,"Cyclone, Buildings",1
477,Improving Earthquake Resistance Of Earthen Buildings-Guidelines,Bureau of Indian Standards,,Bureau of Indian Standards,1993,,"Earthquake, Buildings",1
478,Sardar Aawas Yojna Labharthi Data Book,Jilla Panchayat- Ahmedabd,,Jilla Panchayat- Ahmedabd,2009,,,1
479,The Quantified Participatory Assessment,A.J.James,,Not Known,Nov-2003,,,1
480,Manual For Estimating The Socioeconomic Effects Natural Disasters- Part-1,Not Known,,Not Known,,,,1
481,Methodology For Estimating The Impact Of Natural Disasters:Comments And Suggestions,Erick Bloomestein,,Not Known,,,Disaster,1
482,Eco Architecture For A Sustainable Future,Development Alternatives,,Development Alternatives,,,,1
483,"The Globalizing State, Public Services And The New Governance Of Urban Local Communities In India",IIM- Ahmedabad,,IIM- Ahmedabad,April-11,,,1
484,Community Managed Drought Risk Reduction,Unnati,,Unnati,,,,1
485,Architecture+Design- Volume 29 Issue 3,Not Known,,Not Known,March 2012,,Bamboo,1
486,Humanitarian Exchange- Volume Feb-2012 Issue 53,HPN,,HPN,Feb 2012,,,1
487,Humanitarian Exchange-Volume Sept-2012 Issue 55,HPN,,HPN,Sept 12,,,1
488,Network Paper -Volume -2012 Issue 72,HPN,,HPN,Feb 12,,,1
489,The World Bank In India- -Volume Sept-11 Issue 4,The World Bank,,The World Bank,Jan 13,,,1
490,"Undac Response Preparedness Mission Report 29March-12 April, 2008- Bhutan",Un office For The Coodination of Humanitarian Affairs,,Un office For The Coodination of Humanitarian Affairs,2008,,Bhutan,1
491,Contract Agreement For Odrc For Facilitating Owner Driven Housing Reconstruction Uder Bkfrp,Not Known,,ODRC,Sept-12,,Bihar,2
492,Technical Investigation On Traditional Earthen Construction In Kutch Region Of Gujarat For Its Sustenance And Betterment,"Subhas Basu, Mr Yogananda, Av Pramod",,Hunnarshala,Feb 11,,Construction,1
493,National Disaster Management Guidelines- Management Of Cyclones,Not Known,,NDMA,April 2008,,Cyclones,1
494,Understanding Status Of Drinking Water And Sanitation In Rural Gujarat,Indira Hirway & Subhrangsu Goswami,,Cfda,,,"Water,Gujarat",1
495,Valuation Of Coastal Resources- The Case Of Mangroves In Gujarat,Indira Hirway & Subhrangsu Goswami,,"Academic Foundation, New Delhi",2007,13 9788171885961,"Coastal, Gujarat",1
496,Changing Land Use -Workshop,Gidr,,Gidr,2013,,Land,1
497,Ambuja Technical Literature Series,Not Known,,Ambuja Cement,1998,,,1
498,Manual Of Tropical Housing And Building- Climatic Design,"Koenigsberger, Ingersoll, Mayhew, Szokolay",,Orient Longman,1975,8125011072,"Housing, Building",1
499,Earthquake Engineering Practice,Not Known,,Nicee,06/12,,Eartgquake,1
500,Earthquake Engineering Practice,Not Known,,Nicee,09/12,,Eartgquake,1
501,Earthquake Engineering Practice,Not Known,,Nicee,12/12,,Eartgquake,1
502,Earthquake Engineering Practice,Not Known,,Nicee,03/13,,Eartgquake,1
503,Climatic Evaluation Of Gujarat,Not Known,,"School of Architecture, Ahmedabad",,,Evaluation,1
504,Building And Engineering Contracts,Not Known,,"School of Architecture, Ahmedabad",,,Building,1
505,In The Hands Of The People- Vol.1,Anil C.Shah,,"Gidr,Ahmedabad",2001,,"Rural, Development",1
506,In The Hands Of The People- Vol.2,Anil C.Shah,,"Development Support Centre,Ahmedabad",2005,,"Rural, Development",1
507,Proceedings Of The Getty Seismic Adobe Project 2006 Colloquium,"Mary Hardy, Claudia Cancino, Gail Ostrgren",,"The Getty Conservation Institute, Los Angeles",2006,,,1
508,Handbook For Building Homes With Earth,Not Known,,Peace Crops,Sept. 1981,,,1
509,Seismic Stabilization Of Historic Adobe Structures,"E.Leroy tolles ,Frederick A Webster, William S Ginell, Edna E Kimbro",,"The Getty Conservation Institute, Los Angeles",2000,892365870,"Adobe, Structures",1
510,User Guide For Housing Safety Campaign In Earthquake Affected Areas,Not Known,,Unniti,,,Earthquake,1
511,Easily Understandable Guidelines On Earthquake Safer Construction,Prof. Qaisar Ali,,NDMA Pakistan,12/09,,Earthquake,1
512,Expression Of Interest Development Of Master Plan For Gandhi Green Memorial Project,People In Centre,,"Save, People In Centre , Alchemy",,,Development,1
513,Fittings & Fixtures,Not Known,,The Electro Platting & Polishing Works,,,Fittings,1
514,"Kutch Coast- People, Environment & Livelihoods",Knna,,Fishmarc & Kutch Nav Nirman Abhiyan,01/10,,Environment,1
515,Delivering A Solid Foundation,Austra Infrastructure Solutions Pvt. Ltd.,,Austra Infrastructure Solutions Pvt. Ltd.,,,Soil,1
516,Participatory Planning A Citizens' Handbook,Swati Ramanathan,,Ramanathan Foundation,2003,,"Land, Environment",1
517,Poor Little Rich Slum,"Rashmi Bansal, Deepak Gandhi",,Westland,2012,978 93 81626 18 4,Slum,1
518,Development Through Bricolage,Frances Cleaver,,Routledge,2012,978 1 84407 868 4,Development,1
519,The Untold Story Of A Coast,John Jacob Puthur,,"Star of Sea Publication, Bangalore",2013,978 81 903079 0 1,Coast,1
520,Socio Economic Development Of Villages Of Gulf Of Kachchh- Towards Livelihood Security,Gujarat Ecology Commission,,Gujarat Ecology Commission,,,Coastal,1
521,Report On Capacity Assessment And Capacity Building Plan For The Cbos Promoted Under The Iczmp,Gujarat Ecology Commission,,"Gujarat Ecology Commission,The World Bank",,,"Coastal , Kutchh",1
522,Mangrove Restoration Through Public-Private Partnership -Gujarat,Gujarat Ecology Commission,,Gujarat Ecology Commission,07/12,,Mangrove,1
523,"Integrated Coastal Zone Management Short Course Jadavpur University Nov19- Dec 08, 2001",Not Known,,"Jadavpur University, Calcutta",2001,,"Coastal, Management",1
524,The Cultural Cradle Of Biodiversity,P.S.Ramakrishnan,,"National Book Trust, India",2008,978 81 237 5361 4,"Cultural, Biology",1
525,Earthquake-Resistant Confined Masonry Construction,Svetlana Brzev,,Nicee,09/08,9788190613026,"Earthquake, Construction",1
526,Seismic Design Guide For Low-Rise Confined Masonry Buildings,Not Known,,Eeri,08/11,,"Buildings, Design",1
527,Confined Masonry For One And Two Storey Buildings In Low Tech Environments,tom Schacher,,Nicee,11/11,9789380903019,"Buildings, Design",1
528,People Of India Gujarat - Part 1,K.S.Singh,,Popular Prakashan Pvt. Ltd. Mumbai,2003,8179911047,"People, Gujarat",1
529,People Of India Gujarat - Part 2,K.S.Singh,,Popular Prakashan Pvt. Ltd. Mumbai,2003,8179911055,"People, Gujarat",1
530,Water -Sustainable And Efficient Use,"Suhas Paranjape, K.J.Joy",,Centre For Environment Education,2004,8186385827,Water,1
531,"Environmental Sanitation Institute, 2000-05",Not Known,,Vastu-Shilpa Foundation,2000,,Environment,1
532,Technical Options For Sanitation,Ishwarbhai Patel,,Environmental Sanitation Institute,,,,1
533,Time Sever Standards For Building Types,Joseph De Chiara & John Callender,,Mcgraw-Hill Publishing Company,1990,70162794,Building,1
534,The Sultainable Lifestyle Of The Warlis,Winin Pereira,,Earthcare Books,1990,81 85861 40 4,"Earth, Houses",1
535,Change In The Process Of Construction Of A Vernacular Settlement: A Case Of Banni,Avni Gor,,Cept University,2013,,"Construction, Banni",1
536,Living Environment Of The Kharwa Community Settled In Veraval Region Of Gujarat,Viral Patel,,Cept University,2013,,"Kharwa Community, Veraval",1
537,Attitudes Of Residents Towards Their Domestic Gardens,Mohit Prakash Kapoor,,Cept University,2013,,Residents,1
538,Earthquake Engineering Practice,Nicee,,Nicee,09/13,,,1
539,Earthquake Engineering Practice,Nicee,,Nicee,12/13,,,1
540,Draft Detailed Project Report For Component: A Coastal Resources Conservation & Management,Gujarat Ecology Commision,,Wapcos Limited,02/09,,Mangrove,1
541,Revitalising Communities Through Regenerating Mangroves,Alka Palrecha,,Save,,,Mangrove,1
542,An Anthropological Study On Seasonal Labour Migration In The Dangs Of Gujarat,"Janmejaya Mishra, Lipsa Sahoo",,Akrsp,2014,,"Labour, Dangs",1
543,"Understanding The Current Status Of Community Philanthropy In Gujarat, India: A Scan","Sanjay Dave, Jigna Sangadi, Niraj Joshi",,Akrsp,2014,,"Labour, Dangs",1
544,Earthquakes And Other Earth Movements,John Milne,,Cambridge University Press,2011,978 1 108 07263 2 ,Earthquakes,1
545,Teri- Climate Change,Not Known,,"Inecc,Laya",2014,,,1
546,"Map Book Water & Sanitation In Urban Gujarat, 2013",Urban Management Centre,,Urban Management Centre,"July, 2014",978-81-909120-6-8,"Water, Sanitation",1
547,Ahmedabad Towards A Zero Waste City,"Solid Waste Management Department, Amc",,"Solid Waste Management Department, Amc",,,Waste,1
548,Sintex Product & Solutions For Corporate Social Responsibility (Csr),Sintex Industries Ltd,,Sintex Industries Ltd,,,Sintex,1
549,Water Management And Its Influence On Contemporary Architecture Of Arid Regions,Arpita Mistry,,Cept University,2014,,"Water, Architecture",1
550,People Of India Gujarat - Part 3,K.S.Singh,,Popular Prakashan Pvt. Ltd. Mumbai,2003,8179911063,"People, Gujarat",1
551,Coastal Biovillage Toolkit,"P.Thamizoli, Gopalakrishnan, Rengalakshmi, Vishwanath Palled",,M.S.Swaminathan Research Foundation,,,"toolkit, Coastal",1
552,This Fissured Land An Ecological History Of India,"Madhav Gadgil, Ramachandra Guha",,Oxford University Press,1992,195633415,"Land, Fissured",1
553,Participatory Research- Revisiting The Roots,Rajesh Tandon,,"Mosaic Books, New Delhi",2002,8190129732,Participatory,1
554,Strengthening Community Resilience Against Disasters In Kosi Region,People In Centre,,People In Centre,2013,,Kosi Report,1
555,Building Typologies In Assam- Indentifying Needs For Natural Hazard Safe Construction,People In Centre,,People In Centre,2012,,Assam Report,1
556,Strengthening Capacities Of Building Professionals -Reference Material Training Modules For Architects On Seismic Resistant Design And Retrofitting,People In Centre,,People In Centre,2013,,Assam Report,1
557,Strengthening Capacities Of Building Professionals -Reference Material Training Modules For Engineers On Seismic Resistant Construction,People In Centre,,People In Centre,2013,,Assam Report,1
558,Strengthening Capacities Of Building Professionals -Reference Material Training Modules For Engineers On Seismic Resistant Construction,People In Centre,,People In Centre,2013,,Assam Report,1
559,"Strengthening Capacities Of Building Professionals -Reference Material Training Modules For Masons On Seismic Resistant Construction, Repair And Retrofitting Techniques",People In Centre,,People In Centre,2013,,Assam Report,1
560,"Strengthening Capacities Of Building Professionals -Training Modules For Engineers, Architects, Junior Engineers And Masons In Assam",People In Centre,,People In Centre,2012,,Assam Report,1
561,Strengthening Capacities Of Building Professionals -Reference Material Training Modules For Junior Engineers On Seismic Resistant Construction And Vulnerability Assessment,People In Centre,,People In Centre,2013,,Assam Report,1
562,Makan Na Bandhkamni Surakshit Padhdhati Parimit Chantar,People In Centre,,GSDMA,2013,,"Building , Gujarati",2
563,Earth Construction- Learning From Traditional Practices In Rural Gujarat,"People In Centre, Hunnarshala",,People In Centre,2012,,"Earth, Construction",1
564,Socio Technical Facilitation Of Iay In Gujarat- Housing Typology Study Part-1,"Hunnarshala, People In Centre, Buildaur, Thumbimpressions",,"Hunnarshala, People In Centre, Buildaur, Thumbimpressions",2013,,Iay Report,1
565,Traditional Method Of Cob Wall Construction,"People In Centre, Hunnarshala",,"People In Centre, Hunnarshala",2012,,"Cob Wall, Construction",1
566,Base Maps Of Kvy-3 Programme Villages- Supplement Document To Baseline Study,"People In Centre, Akrsp",,"People In Centre, Akrsp",2010,,"Kvy Study, Gujarat",1
567,Water Policy Research - Highlight -Wastewater Irrigation In Gujarat An Exploratory Study,"Alka Rawal, Dheeraj Kapoor, Teja Malladi",,"People In Centre,Iwmi-Tata",2012,,Iwmi Highlight,10
568,"Feasibility Study For Promoting Social Enterpreneurship For Water Treatement Systems In Western Rajasthan And Kutch, Gujarat","Alka Palrecha, Deepinder Mohan",,People In Centre,2013,,"Water, Rajasthan, Gujarat",1
569,"Assessing Impact Of Drinking Water Supply Through Hand Pumps In The Dangs, Gujarat",Alka Palrecha,,"People In Centre,Wapcos",03/13,,"Water, Gujarat",1
570,Rebuilding After Disasters- Lessions From Cida Supported Tsunami Projects In India,"Vivek Rawal, P.Thamizoli",,"People In Centre,Cida",2009,,"Disaster, Cida",1
571,Monitoring Report Of Short-Term Projects Supported Under Canada Fund For Local Initiatives,Vivek Rawal,,"People In Centre,Cida",2011,,"Report, Nishtha",1
572,Tradition Of Earthen Houses And Livelihood System In Tribes Of India,Dr.O.P.Joshi,,"Trti, Ahmedabad",,,Tribes,1
573,Tsunami Displacement: Lessions For Climate Change Adaptation Programming - Finding For The Maldives- Overview Report,"Jock Baker, Team Leader",,Usaid,07/10,,Tsunami,1
574,Tsunami Displacement: Lessions For Climate Change Adaptation Programming - Finding For India- Overview Report,"Jock Baker, Team Leader",,Usaid,11/10,,Tsunami,1
575,Tsunami Displacement: Lessions For Climate Change Adaptation Programming ,"Jock Baker, Team Leader",,Usaid,12/10,,Tsunami,1
576,Annex Iv: Shelter Reconstruction,"Vivek Rawal,Jock Baker, Team Leader",,Usaid,12/10,,Tsunami,1
577,Journal Of The Indian Institute Of Architects- Landscape Architecture-1,Not Known,,An Iia Publication,10/99,,Magazine,1
578,Ghar Ka Pratirup- Bans Aadharit Nirman Karya,Government of Bihar,,Government of Bihar,2010,,Bamboo,1
579,The Political Biography Of An Earthquake,Oxford University Delhi,,Oxford University Delhi,2013,0-19-945368-3,Earthquake,1
580,Arthat- Bhukamp Visheshank,Vivek Rawal,,Center For Social Study,July-Sept 2001,,Earthquake,1
581,Gazetteer Of India- Supplement Surat District Gazetteer,S.Tripathi,,Government of Gujarat,1981,,Gazetteer,1
582,Site Engineering For Landscape Architects- Part-1,"Steven Strom, Kurt Nathan Pe",,Avi Publication Company,1985,0-87055-471-9,"Architects,",1
583,Site Engineering For Landscape Architects- Part-2,"Steven Strom, Kurt Nathan Pe",,Avi Publication Company,1985,0-87055-471-9,"Architects,",1
584,Tropical Garden Plants In Colour,Bose & Chowdhury,,Horticulture and Allied Publishers,08/91,81-900171-0-1,"Plants, Colour, Garden",1
585,Dams As Aid- A Political Anatomy Of Nordic Development Thinking,Ann Danaiya Usher,,"Routledge, London and New York",1997,0-415-15464-2,Dams,1
586,"Compendium Of ""Trainign Courses On Coastal And Marine Biodiversity And Marine Protected Areas In India""",Not Known,,"Wildfare Institute of India(Wii) ,Giz",,,"Coastal, Marine",1
587,Towards Climate - Responsible Peatlands Management,Riccardo Biancalani & Armine Avagyan,,Food and Agriculture Organization of The United Nations (Fao),2014,978-92-5-108546-2,"Climate, Mitigation",2
588,Standard Operating Procedure (Sop) For Fecal Sludge Management For Municipalities In Gujarat,Urban Management Centre,,Urban Management Centre,01/15,978-81-909120-8-2,"Urban, Housing, Development",1
589,The Sardar Sarovar Project- Assessing Economic And Social Impacts,"S. Jagadeesan,M.Dinesh Kumar",,Sage Publications,2015,978-93-515-0126-8,"Sardar Sarovar, Social Impacts",1
590,People Of India- Bihar Including Jharkhand- Volume Xvi- Part 1,K.S.Singh,,"Naveen Kishore Seagull Books, Kolkata",,81 7046 302 5,"People, Jharkhand, Bihar",1
591,People Of India- Bihar Including Jharkhand- Volume Xvi- Part 2,K.S.Singh,,"Naveen Kishore Seagull Books, Kolkata",,81 7046 302 5,"People, Jharkhand, Bihar",1
592,Regional Planning Theory,Anil Kumar Roy,,Cept University,,,Bechelor In Planning Monsoon Semestervii,1
593,Urben India 2015-Evidence,"Teja Malladi, Arindam Jana",,Indian Institute For Human Settlements (Iihs),2015,,"Urben, Evidence",1
594,Reducing Relocation Risk In Urban India- A Diagnostic,"Teja Malladi, Amir Bazaz, Rohit Jigyasu, Susmita Ramoji, Garima Jain, Aishwarya",,Indian Institute For Human Settlements (Iihs),07/16,,"Urben, Relocation",1
595,Reducing Relocation Risk In Urban India- Site Report For Urban Risks And Resettlements- Section-I (Research Framework And Initial  Summary Of Findings),"Teja Malladi, Amir Bazaz, Rohit Jigyasu, Susmita Ramoji, Mohan Raju, Sunil Kraleti, andaleeb Rehman",,Indian Institute For Human Settlements (Iihs),07/16,,"Urben, Relocation",1
596,Reducing Relocation Risk In Urban India- Site Report For Urban Risks And Resettlements- Section-Ii ( Site Briefs),"Teja Malladi, Garima Jain, Susmita Ramoji, Sunil Kraleti, Aishwarya, Greeshma Hegde",,Indian Institute For Human Settlements (Iihs),07/16,,"Urben, Relocation",1
597,Reducing Relocation Risk In Urban India- Site Report For Urban Risks And Resettlements- Section-Iii ( Data From Primary Work),"Teja Malladi, Amir Bazaz, Rohit Jigyasu, Susmita Ramoji, Mohan Raju, Sunil Kraleti, andaleeb Rehman,Aishwarya",,Indian Institute For Human Settlements (Iihs),07/16,,"Urben, Relocation",1
598,Reducing Relocation Risk In Urban India- Site Report For Urban Risks And Resettlements- Section-Iv (Transcripts And Interviews),"Teja Malladi, Susmita Ramoji, Mohan Raju, Sunil Kraleti, Aishwarya",,Indian Institute For Human Settlements (Iihs),07/16,,"Urben, Relocation",1
599,Cities Provide Transformational Opportunity To Reduce -Risk Accumulation,"Teja Malladi, , Rohit Jigyasu, Sumetee Pahwa Gajjar, Garima Jain",,Indian Institute For Human Settlements (Iihs),07/16,,"Urben, Relocation",1
600,Reforming Institutions In Water Resource Management,Lin Crase & Vasant P.Gandhi,,"Earthscan, London",2009,978-1-84407-755-7,Water,1
601,Resource Book On City Farming In South India,Surya Gunjal,,"Iwmi,Ruaf Foundation",2009,,"City Farming, South India",1
602,Galvanised Wire-Mesh Wall Reinforcement Methodology,Sjoerd Nienhuys,,"Bacip , Pakistan",12/99,,"Wire-Mesh Wall Reinforcement, Earthquake, Wall",1
603,Urban Growth Trends And Multi Hazards In Kathmandu Vally,Kvda,,"UNDP, Nepal",11/16,,"Kathmandu, Urban Growth",1
604,National Guidelines On Temporary Shelters For Disaster- Affected Families,NDMA (Pic),,NDMA,09/19,,"Guidelines, Temporary Shelters",2
605,Unmute,Not Known,,Compartment S4,04/21,978-81-951601-0-5,Songs of Participation,1
606,The Right To The City,Globle Plataform For The Right to The City,,Ford Foundation,,,Right to The City,1
607,Releasing The Commons,Ash Amin and Philip Howell,,Routledge ,2016,978-1-138-94234-9,Common,1
608,Promoting Safar Living Field Level Socio-Technical Interventions Through Retrofitting Training Documentation Of Process,"Rajendra, Rupal Desai & Rooshank Mehta",,"UNDP, NCPDP-CEDAP,ODRC Collaborative",07/21,,Retrofitting Training,1
609,"Houses Retrofitted Inder The Retrofitting Training Programme, Nepal Housing Reconstruction Programme, Gorkha ,Nepal","Rajendra, Rupal Desai & Rooshank Mehta",,"UNDP, NCPDP-CEDAP,ODRC Collaborative",06/21,,"House, Nepal, Retrofitting Training",2
610,Inventory Of Bungamati Heritage Vol-1,Parya Sampada,,Unohabitat,2020,,Bungamati,1
611,Aaju Aji Jarta Of Bungamati,Parya Sampada,,Unohabitat,2020,,Bungamati,1
612,Bunga Abode Of The Mystics,Parya Sampada,,Unohabitat,2020,,Bungamati,1
613,Gamges Water Machine,Anthony Acciavatti,,Applied Research Design Publishing,2015,978-0-982622-61-2,"Water , Machine",1
614,Water And The Laws In India,Ramaswamy R Iyer,,Sage Publications,2009,978-93-532-8173-1,"Water, Law",1
615,Water Law In India,Philippe Cullet & Sujith Koonan,,Oxford,2017,978-0-19-947247-5,Water,1
616,H2o And The Waters Of Forget - Fulness,Ivan Illich,,"Marion Boyars, Londan",1986,0-7145-2854-4,Water,1
617,Sense And Solidarity,Jean Dreze,,Permanent Black,2017,978-81-7824-521-8,Economics,1
618,Planning Ideas That Matter,"Bishwapriya Sanyal, Lawrence J Vale, and Christina D Rosan",,The Mit Press,2012,978-0-262-01760-2,"Livability, Governance and Reflective Practice",1
619,Commutiny,"Arjun Shekhar, Mahamaya Navlakha",,Konark Publishers Pvt Ltd,2019,978-81-935-5541-5,"Commutiny, Youth",1
620,Projections The Mit Journal Of Planning,Kartik Rao-Cavale,,Mit,2016,1535-6191,"Law , Planning",1
621,"The Human Journey- Ecology, Equity And The Economy",Gurudas Nulkar,,Ecological Society,,978-81-935577-0-9," Ecology, Equity, Economy",1
622,Qualitative Inquiry & Research Design,John W Creswell,,Sage Publications,2007,978-1-4129-1607-3,"Research, ",1
623,Indica (A Deep Natural History Of The Indian Subcontinent),Pranaylal,,"Allen Lane, Penguin Books",,978-8-184-00757-2,Natural History,1
624,Jal Thal Mal,Sopan Joshi,,Gandhi Shanti Pratishthan,2016,,Jal. Mal. Sthal,1
625,Timing The Anarchy,Tushar Shah,,"Iwmi,Rff Press",,,Anarchy,1
626,Structures- Or Why Things Don't Fall Down,J.E Gordon,,A.Pelican Book,1978,0-14-021961-7,Structures,1
627,Temples Of Garhwal,Rathin Mitra,,Garhal Mandal Vikas Nigam Ltd,1994,,Temple,1
628,Jana- Brown Citizenship Index,Not Known,,Brown University,2019,,Questionnaire 2019,1
629,Governance And Citizens In Urban India: Evidence From Bhavnagar,Tarun Arora,,The Janaagraha- Brown University,06/22,,The Janaagraha Brown Citizenship Index Study,1
630,Living Rivers Dying Rivers,Ramaswamy R Iyer,,Oxford,2015,199456224,River,1
631,Navigating Sustainable Seas,Dr. Chirag Bhimani,,Orange Book Publication,2024,978-93-5621-519-1,Sea,1
632,Gujarat Ni Samprat Paryavaraniy Paristhiti,Mahesh Pandya,,Paryavaran Mitra,2023,,,1
